title,author,year,theme,themes,response,techStance,econ,newScarcity,worthLiving,identityModel,deathRole,workRole,coreQuestion,aiPresence,persists,fades,desc,debatesWith
Ancillary Justice,Ann Leckie,2013,identity,identity; hierarchy; freedom; connection,reform,neutral,hybrid,identity,connection,fluid,meaning,transformed,who-am-i,central,tea; music; consciousness; small_loyalties,empire; certainty; simple_identity,"A warship's AI, now trapped in a single human body, seeks revenge against the ruler who destroyed her.",Use of Weapons
Ancillary Sword,Ann Leckie,2014,hierarchy,hierarchy; identity; connection; work,reform,neutral,hybrid,meaning,connection,multiple,endpoint,transformed,how-live,central,care; attention; craft,status; artificial,Breq takes command of a new ship to protect the family of a lieutenant she once murdered.,Ancillary Justice
Ancillary Mercy,Ann Leckie,2015,hierarchy,hierarchy; identity; freedom; connection,reform,neutral,hybrid,identity,connection,multiple,endpoint,transformed,who-am-i,central,care; attention; craft,status; artificial,"Breq must defend a space station against the divided, immortal ruler of the empire.",Ancillary Sword
Translation State,Ann Leckie,2023,identity,identity; embodiment; freedom; hierarchy,reform,neutral,hybrid,identity,connection,constructed,irrelevant,transformed,who-am-i,background,presence; attention,status; artificial,A missing translator sets three lives on a collision course as a treaty with dangerous aliens hangs in balance.,The Left Hand of Darkness
A Clockwork Orange,Anthony Burgess,1962,freedom,freedom; identity; hierarchy; meaning,rejection,imprisoning,hybrid,meaning,struggle,fixed,endpoint,irrelevant,who-am-i,absent,limits; risk,artificial,"A violent teenage gang leader undergoes state-mandated aversion therapy, raising questions about free will.",Brave New World
Hard to Be a God,Arkady & Boris Strugatsky,1964,hierarchy,hierarchy; meaning; freedom; identity,rejection,neutral,hybrid,meaning,struggle,fixed,endpoint,essential,what-matters,absent,difficulty; limits,comfort,"An Earth observer poses as a nobleman on a medieval alien world, forbidden to interfere as civilization falls.",
Roadside Picnic,Arkady & Boris Strugatsky,1972,meaning,meaning; work; identity; connection,acceptance,neutral,capitalism,meaning,connection,fixed,endpoint,essential,what-matters,absent,care; craft,status; necessity,"After aliens briefly visit Earth, scavengers risk their lives retrieving dangerous artifacts from mysterious Zones.",Rendezvous with Rama
The Doomed City,Arkady & Boris Strugatsky,1989,meaning,meaning; hierarchy; identity; freedom,restlessness,neutral,hybrid,meaning,discovery,fixed,endpoint,transformed,what-matters,absent,attention; stories,status,"In a mysterious city with an artificial sun, residents from different eras struggle to govern themselves.",
A Memory Called Empire,Arkady Martine,2019,identity,identity; hierarchy; freedom; connection,acceptance,neutral,hybrid,identity,connection,constructed,meaning,transformed,who-am-i,background,diplomacy; cultural_fluency; adaptation,simple_resistance; purity; belonging,An ambassador must solve her predecessor's murder while hiding a secret that could doom her home station.,Ancillary Justice
A Desolation Called Peace,Arkady Martine,2021,hierarchy,hierarchy; identity; connection; freedom,acceptance,neutral,hybrid,identity,connection,constructed,endpoint,transformed,who-am-i,background,attention; stories; care,artificial; status,Two diplomats attempt first contact with an alien armada threatening the empire.,A Memory Called Empire
Childhood's End,Arthur C. Clarke,1953,mortality,mortality; identity; meaning; freedom,transcendence,liberating,post-money,meaning,transcendence,fluid,meaning,irrelevant,why-exist,absent,transcendence; evolution; overmind,humanity; individuality; earth; art,"Mysterious alien Overlords arrive on Earth, ushering in a golden age that leads to humanity's transformation.",The State of the Art
2001: A Space Odyssey,Arthur C. Clarke,1968,meaning,meaning; identity; mortality; hierarchy,transcendence,liberating,hybrid,meaning,transcendence,fluid,transcended,transformed,why-exist,central,craft; attention,necessity,"A voyage to investigate a mysterious alien signal (Saturn in the novel, Jupiter in the film) goes wrong when the ship's AI malfunctions.",
Rendezvous with Rama,Arthur C. Clarke,1973,meaning,meaning; hierarchy; identity,acceptance,neutral,hybrid,meaning,discovery,fixed,irrelevant,voluntary,what-matters,absent,craft; attention,status; necessity,A team of astronauts explores a massive alien spacecraft passing through the solar system.,
"The Long Way to a Small, Angry Planet",Becky Chambers,2014,connection,connection; identity; freedom; work,acceptance,liberating,hybrid,connection,connection,fluid,meaning,transformed,how-live,central,chosen_family; kindness; difference,isolation; purity; origin,A diverse spaceship crew bonds during a long journey to build a hyperspace tunnel in dangerous territory.,Neuromancer
A Closed and Common Orbit,Becky Chambers,2016,identity,identity; connection; meaning; embodiment,acceptance,liberating,hybrid,identity,connection,constructed,endpoint,transformed,who-am-i,central,care; craft; attention,status; artificial,A ship's AI downloaded into an illegal humanoid body learns to navigate the world with a hidden engineer.,A Psalm for the Wild-Built
Record of a Spaceborn Few,Becky Chambers,2018,connection,connection; meaning; identity; mortality,acceptance,neutral,gift,meaning,connection,constructed,meaning,transformed,how-live,background,ritual; community; choice,purpose_from_necessity; holding_on; obsolescence,Five interconnected lives explore identity and belonging aboard the aging Exodus Fleet that once fled Earth.,Aurora
A Psalm for the Wild-Built,Becky Chambers,2021,meaning,meaning; work; connection; freedom,acceptance,liberating,post-money,meaning,connection,fluid,meaning,voluntary,what-matters,central,tea; companionship; wilderness; pausing,hustle; productivity; urgency,"A tea monk searching for purpose encounters a robot in the wilderness, centuries after machines disappeared.",Consider Phlebas
"The Galaxy, and the Ground Within",Becky Chambers,2021,connection,connection; identity; meaning; hierarchy,acceptance,liberating,hybrid,connection,connection,constructed,endpoint,transformed,how-live,absent,care; attention; presence,status; urgency,"Travelers from different alien species are stranded together at a waystation, confronting their differences.",A Closed and Common Orbit
Schismatrix Plus,Bruce Sterling,1985,identity,identity; freedom; mortality; hierarchy,transcendence,liberating,hybrid,identity,transcendence,fluid,irrelevant,transformed,who-am-i,background,flexibility; diplomacy; curiosity,fixed_nature; conservatism; stability,A diplomat navigates a solar system divided between genetically-enhanced Shapers and cybernetic Mechanists.,Diaspora
Islands in the Net,Bruce Sterling,1988,connection,connection; hierarchy; work; freedom,acceptance,neutral,hybrid,connection,connection,fixed,endpoint,transformed,how-live,background,care; presence,status,A corporate executive is drawn into global intrigue involving data pirates and rogue states.,
Distraction,Bruce Sterling,1998,identity,identity; hierarchy; work; meaning,restlessness,neutral,hybrid,status,creation,constructed,irrelevant,transformed,who-am-i,background,craft; attention,status; necessity,A political spin doctor navigates a chaotic 2044 America where the government has collapsed.,
Downbelow Station,C.J. Cherryh,1981,hierarchy,hierarchy; connection; freedom; work,acceptance,neutral,market,connection,connection,constructed,endpoint,essential,how-live,absent,care; craft; difficulty,status; artificial,A space station becomes a battleground as war erupts between Earth's Company and the rebel Union.,Foundation
Cyteen,C.J. Cherryh,1988,identity,identity; hierarchy; freedom; connection,acceptance,neutral,hybrid,identity,discovery,constructed,transcended,transformed,who-am-i,absent,craft; attention; difficulty,artificial; privacy,A murdered geneticist is cloned and her successor must navigate deadly politics while discovering her identity.,Dawn
Contact,Carl Sagan,1985,meaning,meaning; connection; identity; hierarchy,transcendence,liberating,hybrid,meaning,discovery,fixed,meaning,voluntary,what-matters,absent,craft; attention; care,status,A scientist decodes an extraterrestrial message containing instructions to build a machine for interstellar travel.,The Dark Forest
Singularity Sky,Charles Stross,2003,freedom,freedom; hierarchy; scarcity; work,reform,liberating,gift,meaning,discovery,constructed,irrelevant,voluntary,how-live,central,craft; difficulty,status; necessity,A repressive interstellar colony is upended when aliens arrive offering technology in exchange for entertainment.,The Dispossessed
Iron Sunrise,Charles Stross,2004,hierarchy,hierarchy; freedom; identity; meaning,reform,neutral,hybrid,meaning,struggle,fixed,endpoint,voluntary,how-live,central,craft; risk,status,Agents race to prevent retaliation against the wrong planet after a star is deliberately destroyed.,
Accelerando,Charles Stross,2005,identity,identity; freedom; mortality; meaning,transcendence,neutral,post-money,identity,transcendence,fluid,irrelevant,irrelevant,who-am-i,central,acceleration; posthuman_economics; transformation,humanity; continuity; baseline,Three generations of a family experience humanity's transformation through a technological singularity.,The Telling
Glasshouse,Charles Stross,2006,identity,identity; freedom; hierarchy; meaning,rejection,neutral,post-money,identity,connection,fluid,irrelevant,voluntary,who-am-i,background,care; stories,artificial,"An amnesiac war veteran hides in an experiment simulating 20th-century society, only to find it's a trap.",
Perdido Street Station,China Mieville,2000,hierarchy,hierarchy; freedom; work; identity,rejection,neutral,market,meaning,struggle,constructed,endpoint,essential,what-matters,absent,craft; difficulty; risk,status; artificial,A scientist in a grotesque steampunk city accidentally unleashes terrifying winged monsters.,Neuromancer
The Scar,China Mieville,2002,freedom,freedom; meaning; identity; hierarchy,restlessness,neutral,hybrid,meaning,discovery,fluid,endpoint,transformed,what-matters,absent,craft; difficulty,status; necessity,A linguist captured by pirates is taken to a floating city seeking a mythical reality-warping location.,
Iron Council,China Mieville,2004,freedom,freedom; hierarchy; work; meaning,rejection,neutral,gift,meaning,struggle,constructed,meaning,transformed,how-live,absent,craft; stories; difficulty,status; artificial,A renegade perpetual train becomes a symbol of revolution as war tears through New Crobuzon.,The Dispossessed
The City & The City,China Mieville,2009,hierarchy,hierarchy; identity; freedom; meaning,acceptance,neutral,market,meaning,discovery,constructed,endpoint,essential,what-matters,absent,attention; limits,artificial; privacy,A detective investigates a murder across two cities that occupy the same space but must ignore each other.,1984
Embassytown,China Mieville,2011,freedom,freedom; identity; connection; meaning,transcendence,neutral,hybrid,meaning,creation,fluid,meaning,transformed,what-matters,absent,metaphor; imagination; lying,literal_truth; direct_language; innocence,A human colonist becomes entangled in a crisis when a new ambassador disrupts relations with aliens who cannot lie.,Babel-17
City,Clifford D. Simak,1952,meaning,meaning; connection; identity; work,acceptance,liberating,post-money,meaning,connection,fluid,transcended,voluntary,what-matters,background,care; stories,status; necessity,Intelligent dogs inherit Earth and pass down legends of their human creators who abandoned the planet.,Childhood's End
Way Station,Clifford D. Simak,1963,connection,connection; meaning; identity; work,acceptance,liberating,gift,connection,connection,fixed,transcended,voluntary,how-live,absent,care; craft; attention,status,"A Civil War veteran secretly operates an alien transit station, gaining immortality.",Contact
The Road,Cormac McCarthy,2006,mortality,mortality; connection; meaning; hierarchy,acceptance,neutral,gift,connection,connection,fixed,meaning,essential,what-matters,absent,care; presence; stories,status; artificial; boredom,"A father and son journey through a burned, post-apocalyptic America, surviving on love and scavenged supplies.",A Canticle for Leibowitz
Down and Out in the Magic Kingdom,Cory Doctorow,2003,meaning,meaning; identity; hierarchy; mortality,acceptance,neutral,post-money,status,creation,constructed,irrelevant,voluntary,what-matters,background,status_competition; whuffie; relevance_anxiety,death; poverty; material_want,"In a future without death or scarcity, a Disney World resident wages war for control of attractions.",The Player of Games
Walkaway,Cory Doctorow,2017,freedom,freedom; work; hierarchy; connection,rejection,liberating,gift,meaning,creation,constructed,irrelevant,voluntary,how-live,background,gift_economy; radical_hospitality; walking_away,artificial_scarcity; default_world; ownership,"Dissidents abandon mainstream society for a post-scarcity commune, then discover how to upload consciousness.",The Dispossessed
The Bezzle,Cory Doctorow,2024,hierarchy,hierarchy; scarcity; work; freedom,reform,oppressive,capitalism,status,struggle,fixed,endpoint,enforced,how-live,background,limits; difficulty,urgency,A forensic accountant uncovers a scheme where wealthy investors exploit California's privatized prison system.,Walkaway
Hyperion,Dan Simmons,1989,meaning,meaning; mortality; identity; connection,acceptance,imprisoning,hybrid,meaning,connection,constructed,meaning,transformed,what-matters,central,story; love; art; memory,simple_answers; safe_transcendence; trust_in_AI,"Seven pilgrims journey to meet the deadly Shrike, each sharing their tale of why they seek the Time Tombs.",Childhood's End
Flowers for Algernon,Daniel Keyes,1966,identity,identity; meaning; connection; work,acceptance,neutral,capitalism,connection,connection,fluid,meaning,transformed,who-am-i,absent,care; presence,skills; achievement,"A man with intellectual disabilities undergoes experimental surgery to increase his intelligence, with tragic results.",
The Hitchhiker's Guide to the Galaxy,Douglas Adams,1979,meaning,meaning; freedom; identity; mortality,acceptance,neutral,hybrid,meaning,connection,fluid,irrelevant,irrelevant,why-exist,background,towels; friendship; not_panicking,cosmic_purpose; seriousness; earth,"Earth is demolished for a hyperspace bypass, and Arthur Dent hitchhikes through the galaxy.",Solaris
The Machine Stops,E.M. Forster,1909,connection,connection; embodiment; freedom; meaning,rejection,imprisoning,post-money,connection,connection,constructed,meaning,irrelevant,how-live,central,direct_experience; physical_presence; curiosity,mediation; ideas_about_ideas; bodies,"Humanity lives underground in isolated cells, utterly dependent on an omnipotent Machine that begins to fail.",Rainbows End
Station Eleven,Emily St. John Mandel,2014,meaning,meaning; connection; identity; work,acceptance,neutral,hybrid,meaning,creation,constructed,meaning,essential,what-matters,absent,art; shakespeare; music; memory,technology; infrastructure; old_world,A traveling theater troupe performs Shakespeare in the scattered settlements after a pandemic.,The Peripheral
Ecotopia,Ernest Callenbach,1975,work,work; hierarchy; connection; embodiment,reform,liberating,gift,meaning,creation,constructed,meaning,transformed,how-live,absent,craft; limits; presence,status; artificial,A journalist visits a breakaway Pacific Northwest nation that has created an ecological utopia.,Stand on Zanzibar
Dune,Frank Herbert,1965,hierarchy,hierarchy; freedom; identity; mortality,acceptance,imprisoning,market,meaning,struggle,fixed,meaning,essential,how-live,absent,ecology; discipline; messiah_danger,simple_heroism; AI; comfortable_answers,"A young noble heir must survive deadly betrayal when his family takes control of the most valuable planet in the universe, rising to lead its desert people.",Foundation
Dune Messiah,Frank Herbert,1969,hierarchy,hierarchy; freedom; identity; meaning,rejection,neutral,hybrid,meaning,struggle,fixed,meaning,essential,what-matters,absent,limits; difficulty,comfort; achievement,Emperor Paul Atreides struggles against conspiracies while unable to stop the religious jihad in his name.,The Dispossessed
Children of Dune,Frank Herbert,1976,mortality,mortality; identity; hierarchy; freedom,transcendence,neutral,hybrid,meaning,transcendence,fluid,transcended,essential,what-matters,absent,difficulty; risk,comfort,Paul's twin children navigate assassination plots while one transforms to ensure humanity's survival.,
God Emperor of Dune,Frank Herbert,1981,freedom,freedom; mortality; hierarchy; meaning,transcendence,neutral,hybrid,meaning,transcendence,fluid,transcended,essential,what-matters,absent,difficulty; limits,comfort; status,"Leto II, merged with sandworms for 3,500 years, rules as an immortal tyrant to save humanity.",The End of Eternity
Man Plus,Frederik Pohl,1976,identity,identity; embodiment; meaning; work,acceptance,neutral,hybrid,identity,connection,fluid,endpoint,essential,who-am-i,central,care; presence,artificial,An astronaut is surgically transformed into a cyborg designed to survive on Mars as Earth faces global catastrophe.,
Gateway,Frederik Pohl,1977,identity,identity; meaning; mortality; scarcity,acceptance,neutral,market,meaning,discovery,constructed,meaning,voluntary,who-am-i,background,risk; difficulty; stories,status; boredom,"Explorers use abandoned alien ships with unknown destinations, risking death or fortune with every launch.",Solaris
Jem,Frederik Pohl,1979,hierarchy,hierarchy; connection; work; meaning,rejection,neutral,hybrid,status,struggle,fixed,endpoint,essential,how-live,absent,difficulty,comfort; status,Three rival power blocs from a resource-depleted Earth export their conflicts to a newly discovered habitable planet.,
The Space Merchants,Frederik Pohl & C.M. Kornbluth,1953,hierarchy,hierarchy; work; freedom; meaning,rejection,imprisoning,capitalism,freedom,struggle,fixed,endpoint,essential,how-live,absent,craft; risk,status,"In an overpopulated future ruled by advertising agencies, a copywriter is assigned to sell Venus colonization.",Down and Out in the Magic Kingdom
The Book of the New Sun,Gene Wolfe,1983,identity,identity; meaning; mortality; hierarchy,transcendence,neutral,hybrid,meaning,transcendence,fluid,transcended,essential,who-am-i,background,stories; attention; difficulty,status,A torturer's apprentice is exiled and journeys across a far-future dying Earth carrying an ancient sword.,
Nineteen Eighty-Four,George Orwell,1949,freedom,freedom; identity; hierarchy; connection,rejection,imprisoning,hybrid,meaning,struggle,constructed,endpoint,essential,what-matters,absent,power; control; doublethink,truth; love; resistance; self,A minor Party member rebels against a totalitarian surveillance state ruled by the omnipresent Big Brother.,Brave New World
Quarantine,Greg Egan,1992,identity,identity; freedom; meaning; hierarchy,acceptance,neutral,market,identity,discovery,multiple,endpoint,voluntary,who-am-i,background,difficulty; craft,artificial; privacy,A detective investigates an impossible escape in a future where the stars have been blocked by aliens.,VALIS
Permutation City,Greg Egan,1994,identity,identity; mortality; meaning; freedom,transcendence,liberating,post-money,identity,transcendence,constructed,irrelevant,irrelevant,who-am-i,central,pattern; curiosity; simulation,substrate; embodiment; continuity,"A wealthy man creates digital copies of human minds and tests whether simulated realities can become self-sustaining, discovering that consciousness may persist through mathematical pattern alone.",Story of Your Life
Distress,Greg Egan,1995,meaning,meaning; identity; freedom; embodiment,transcendence,liberating,hybrid,meaning,discovery,fluid,endpoint,voluntary,what-matters,background,difficulty; craft; attention,artificial; privacy,A journalist covers a physics conference on an artificial island as a Theory of Everything nears completion.,The Quantum Thief
Diaspora,Greg Egan,1997,identity,identity; freedom; meaning; mortality,transcendence,liberating,post-money,meaning,transcendence,fluid,irrelevant,irrelevant,why-exist,central,curiosity; transformation; openness,flesh; tradition; limits,Digital beings and flesh-based humans search for knowledge after a cosmic catastrophe threatens humanity.,Aurora
Schild's Ladder,Greg Egan,2002,meaning,meaning; identity; mortality; embodiment,transcendence,liberating,post-money,experience,discovery,multiple,obstacle,voluntary,what-matters,background,difficulty; craft; risk,presence; artificial,A physics experiment creates an expanding bubble of new vacuum that threatens to consume the universe.,Diaspora
The Time Machine,H.G. Wells,1895,hierarchy,hierarchy; mortality; meaning; embodiment,rejection,neutral,hybrid,meaning,struggle,fixed,meaning,essential,why-exist,absent,entropy; class_division; degeneration,intelligence; progress; humanity,"A Victorian inventor travels to 802,701 to find humanity split into idle Eloi and predatory Morlocks.",Kindred
The Island of Doctor Moreau,H.G. Wells,1896,embodiment,embodiment; identity; hierarchy; freedom,rejection,imprisoning,market,identity,struggle,fixed,endpoint,irrelevant,who-am-i,absent,limits,artificial,A shipwrecked man discovers an island where a scientist transforms animals into human-like creatures.,
The War of the Worlds,H.G. Wells,1898,hierarchy,hierarchy; mortality; embodiment,acceptance,neutral,market,status,struggle,fixed,meaning,irrelevant,what-matters,absent,presence; luck,status; achievement,"Martians invade Earth with devastating heat-rays, reducing humanity to terrified refugees.",
The Quantum Thief,Hannu Rajaniemi,2010,identity,identity; freedom; hierarchy; meaning,restlessness,liberating,hybrid,identity,discovery,multiple,transcended,voluntary,who-am-i,central,craft; stories; risk,privacy; artificial,A legendary thief is freed from a virtual prison to pull off a heist in a post-human solar system.,Permutation City
The Fractal Prince,Hannu Rajaniemi,2012,identity,identity; freedom; hierarchy; meaning,restlessness,liberating,hybrid,identity,discovery,multiple,transcended,voluntary,who-am-i,central,stories; craft; risk,privacy; artificial,A master thief journeys to a transformed Earth where reality and digital stories blur in desert cities.,The Quantum Thief
The Causal Angel,Hannu Rajaniemi,2014,identity,identity; freedom; hierarchy; meaning,transcendence,liberating,hybrid,identity,discovery,multiple,transcended,voluntary,who-am-i,central,craft; risk; stories,privacy; artificial,A thief and warrior race to reunite as war erupts between godlike factions across the solar system.,The Fractal Prince
The Glass Bead Game,Hermann Hesse,1943,meaning,meaning; work; hierarchy; connection,transcendence,neutral,gift,meaning,creation,constructed,meaning,transformed,what-matters,absent,craft; attention; care,status; necessity,"In a future intellectual utopia, a master of an abstract game synthesizing all arts questions his cloistered life.",Anathem
Consider Phlebas,Iain M. Banks,1987,meaning,meaning; freedom; hierarchy; identity,rejection,liberating,post-money,meaning,struggle,constructed,meaning,irrelevant,why-exist,central,conviction; struggle; faith,meaning; urgency; stakes,A shape-changing mercenary hunts a fugitive Mind during the galaxy-spanning Idiran-Culture War.,A Psalm for the Wild-Built
The Player of Games,Iain M. Banks,1988,meaning,meaning; hierarchy; identity; freedom,acceptance,liberating,post-money,meaning,creation,constructed,endpoint,irrelevant,who-am-i,central,integrity; play; craft,high_stakes; meritocracy; cruelty,A bored master game player competes in a brutal empire where the game's winner becomes emperor.,Ender's Game
The State of the Art,Iain M. Banks,1989,hierarchy,hierarchy; connection; freedom; meaning,acceptance,liberating,post-money,connection,connection,constructed,meaning,voluntary,how-live,central,compassion; observation; choice,interference; certainty; superiority,A story collection featuring a Culture ship's covert visit to Earth in 1977.,Childhood's End
Use of Weapons,Iain M. Banks,1990,identity,identity; meaning; hierarchy; mortality,acceptance,liberating,post-money,meaning,struggle,constructed,meaning,essential,who-am-i,background,guilt; trauma; service,redemption; clean_hands; innocence,A Culture agent with a hidden past undertakes dangerous missions while his traumatic history unfolds.,The Forever War
Excession,Iain M. Banks,1996,meaning,meaning; hierarchy; identity; scarcity,restlessness,liberating,post-money,meaning,discovery,constructed,endpoint,voluntary,what-matters,central,difficulty; risk; craft,boredom; urgency,Culture Minds confront a mysterious artifact from another universe while dealing with a brutal civilization.,Consider Phlebas
Inversions,Iain M. Banks,1998,hierarchy,hierarchy; freedom; meaning; connection,reform,neutral,hybrid,meaning,connection,constructed,endpoint,transformed,how-live,absent,craft; care; attention,artificial; status,"Two mysterious foreigners serve rival kingdoms on a medieval world, concealing their true origins.",The Dispossessed
Look to Windward,Iain M. Banks,2000,mortality,mortality; meaning; hierarchy; connection,acceptance,liberating,post-money,meaning,connection,constructed,meaning,voluntary,what-matters,central,stories; attention; care,urgency; boredom,An emissary with a buried assassination mission travels to a Culture Orbital as ancient atrocities arrive.,Use of Weapons
Matter,Iain M. Banks,2008,hierarchy,hierarchy; meaning; identity; mortality,reform,liberating,post-money,meaning,struggle,constructed,meaning,voluntary,what-matters,central,risk; care; craft,status; artificial,Three royal siblings are caught in war and conspiracy on a vast artificial shellworld.,Surface Detail
Surface Detail,Iain M. Banks,2010,mortality,mortality; hierarchy; freedom; identity,reform,imprisoning,post-money,meaning,struggle,constructed,meaning,irrelevant,what-matters,central,courage; revenge; will,mercy; death_as_end; cultural_tolerance,A murdered slave seeks revenge as a secret war over virtual afterlife Hells threatens to become real.,Permutation City
The Hydrogen Sonata,Iain M. Banks,2012,mortality,mortality; meaning; identity; freedom,transcendence,liberating,post-money,meaning,transcendence,fluid,transcended,voluntary,why-exist,central,craft; difficulty; stories,urgency; artificial,A civilization prepares to Sublime while one soldier searches for a man who knows their secret history.,Childhood's End
"I, Robot",Isaac Asimov,1950,hierarchy,hierarchy; work; identity; meaning,acceptance,liberating,hybrid,meaning,creation,fixed,irrelevant,transformed,what-matters,central,craft; attention,status,"Nine stories explore robots, the Three Laws of Robotics, and humanity's evolving relationship with AI.",
Foundation,Isaac Asimov,1951,hierarchy,hierarchy; meaning; freedom; work,acceptance,neutral,hybrid,meaning,creation,fixed,endpoint,essential,how-live,absent,knowledge; prediction; inevitable_forces,individual_agency; chaos; dark_ages,A mathematician predicts the fall of the Galactic Empire and establishes a colony to shorten the dark age.,Dune
The Caves of Steel,Isaac Asimov,1954,work,work; hierarchy; connection; identity,reform,neutral,hybrid,connection,connection,fixed,endpoint,essential,how-live,central,craft; presence,comfort,Detective Elijah Baley reluctantly partners with a humanoid robot to solve a murder in domed megacities.,Neuromancer
The End of Eternity,Isaac Asimov,1955,freedom,freedom; meaning; hierarchy; mortality,rejection,imprisoning,hybrid,meaning,struggle,fixed,meaning,transformed,what-matters,absent,risk; difficulty,comfort; necessity,An Eternal who manipulates time falls in love and threatens the fabric of Eternity itself.,
The Female Man,Joanna Russ,1975,identity,identity; freedom; hierarchy; embodiment,rejection,neutral,post-money,meaning,creation,constructed,meaning,transformed,who-am-i,absent,rage; awareness; possibility,patriarchy; half_personhood; constraint,Four versions of the same woman from parallel universes meet and challenge assumptions about gender.,The Dispossessed
The Forever War,Joe Haldeman,1974,connection,connection; identity; meaning; mortality,acceptance,neutral,hybrid,connection,connection,fixed,meaning,transformed,how-live,absent,love; alienation; adaptation,home; understanding; purpose_of_war,"A soldier fights an interstellar war, returning home to find centuries have passed due to time dilation.",Use of Weapons
Stand on Zanzibar,John Brunner,1968,scarcity,scarcity; hierarchy; identity; connection,reform,imprisoning,market,meaning,connection,constructed,endpoint,essential,how-live,background,limits; attention,urgency; privacy,"In an overpopulated 2010, a corporate executive and spy navigate genetic engineering and social collapse.",Ecotopia
The Sheep Look Up,John Brunner,1972,hierarchy,hierarchy; scarcity; connection; embodiment,rejection,imprisoning,market,meaning,struggle,constructed,endpoint,essential,how-live,absent,limits; care; attention,artificial; status,Environmental collapse devastates America while an activist tries to wake the oblivious public.,Stand on Zanzibar
The Shockwave Rider,John Brunner,1975,freedom,freedom; identity; hierarchy; connection,reform,neutral,hybrid,identity,discovery,fluid,endpoint,voluntary,how-live,background,craft; attention,privacy; artificial,A fugitive uses computer hacking skills to escape pursuit and expose government secrets.,Neuromancer
The Light Brigade,Kameron Hurley,2019,hierarchy,hierarchy; work; identity; freedom,rejection,imprisoning,capitalism,freedom,struggle,fixed,endpoint,essential,how-live,absent,care; risk,status; comfort,Soldiers broken into light for teleportation find their drops through time reveal corporate war's hidden truths.,Starship Troopers
Never Let Me Go,Kazuo Ishiguro,2005,mortality,mortality; identity; connection; meaning,acceptance,imprisoning,hybrid,meaning,connection,fixed,meaning,essential,who-am-i,absent,love; art; small_moments,escape; rebellion; justice,Students at an idyllic English boarding school gradually discover they are clones raised to donate organs.,The Lifecycle of Software Objects
